chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.50434697,0.079918735,640.876574182027,652.4221501675473,1250.662329889113,0.037818170362903226,-323.14056,160.75627,11.640981,-12.503515,13.073012,5.8716464,0.7082875,3.704911,-2.0447233,1.6758679,9.4258995,3.0479782,-1.5240891,3.1220644,4.0343623,2.4036186,0.77873605,-4.0416546,-4.998603,0.32663158,0
0.57918423,0.052300576,631.5840159158444,663.4544978414552,1282.5493484246927,0.03218253714139344,-332.12094,141.9299,18.530817,-8.511547,10.794542,9.048994,4.465048,4.366512,0.758044,3.8087516,6.880017,0.5529109,-0.8894465,5.1028395,5.855425,2.6194646,0.07435841,-2.4707198,-1.096773,3.7094982,0
0.5265618,0.073842295,622.8881773117824,635.8710631515596,1236.734188304228,0.03652774586397059,-328.24377,157.79793,13.610992,-11.595711,12.908396,7.1702085,1.9931445,4.109096,-1.4796716,2.0730324,9.436427,3.1912975,-1.6254209,2.8270907,4.200616,2.6234765,0.81290627,-3.6230035,-4.4753933,0.4285588,0
0.23294306,0.028362378,745.2295646199851,780.0926756712764,1485.0484913793102,0.035947602370689655,-438.03928,194.00308,-33.038074,15.916369,43.44685,-17.161802,-10.106777,-4.546376,-17.336878,13.622433,17.709599,-10.240672,-5.714234,1.673053,-1.9242668,1.7214779,-2.1102538,-3.6879501,1.9110736,-2.6571097,0
0.2178625,0.034405496,760.1593040288045,778.8717689222997,1494.404296875,0.03755859375,-427.255,193.16196,-33.32297,15.492432,39.402725,-22.149717,-9.3952,-1.5214212,-16.467402,12.282776,13.4715395,-13.311672,-3.2857873,4.41261,-3.9096558,-1.6261728,-3.241441,-3.1450596,2.163258,-3.7569523,0
0.3066271,0.05086847,622.9051557096814,726.4144047371742,1193.826114430147,0.025060317095588234,-398.76587,189.76755,-0.13222605,32.858006,43.65191,-22.293251,-17.830572,-2.4793465,-16.81355,-3.8785527,2.416311,-6.8342824,2.182336,1.621536,-5.935002,0.18306327,-3.996872,-6.5526996,4.066929,-1.7457209,0
0.39579302,0.12259777,672.3740201599089,696.1376512250495,1243.212890625,0.03512635522959184,-334.3025,150.74895,-3.4043894,11.0727005,32.30718,-2.6307576,-6.849882,-3.3941505,-10.016245,1.0321999,3.1561277,-3.242873,3.9299672,1.3609618,-6.328109,0.63556397,1.1548531,-5.6361814,-2.0796804,2.8766878,0
0.3357931,0.04916211,802.3043255031625,838.2950085610037,1765.2740478515625,0.0350341796875,-396.57397,173.925,-12.278987,21.164171,29.188324,-27.606115,-4.886723,5.470674,-30.11966,-11.65318,10.558852,-9.357202,-8.648992,2.5939329,-4.7766566,-4.7877345,-1.1169378,-0.5744253,5.976415,3.0657866,0
0.29525676,0.17514898,724.9741486798919,718.7591550800881,1331.6586143092106,0.03496350740131579,-290.5935,175.15231,-22.307806,18.951448,35.09713,-24.23132,-16.81247,-7.836562,-14.121439,10.706792,6.059357,-13.892297,-0.67913306,-0.99399275,-12.196269,-5.247884,-7.8586087,-10.836473,0.2100744,0.7436796,0
0.2611531,0.1826627,806.101100741149,666.0565971008106,1485.5218505859375,0.0475830078125,-280.96832,167.29237,-20.63034,0.6842646,28.53983,-16.756027,-19.168873,-8.064102,-16.990656,-5.0483484,2.5815644,-3.303367,3.030653,-1.4565706,-11.818732,-2.1523125,0.31996673,-8.473791,-2.8617485,3.0785446,0
0.30715948,0.14245465,665.871651253613,725.3593859160233,1340.785509474734,0.03002410239361702,-296.6083,190.23692,-8.579116,25.688362,43.15273,-8.9437895,-8.357195,-16.2062,-28.010654,1.5639721,1.8935479,-10.921039,7.1924496,3.3903053,-10.5069065,-1.4941554,-4.645819,-9.910296,-0.4651321,-2.714452,0
0.39007753,0.12507479,671.2032400870058,701.9599485179903,1233.2244873046875,0.033782958984375,-332.59317,151.43988,-3.899908,11.465589,32.527233,-3.3966854,-7.1261964,-3.0779564,-10.100898,0.77774304,3.155615,-3.131829,4.036421,1.3739926,-6.4609294,0.46298793,1.1224048,-5.4921947,-1.9652334,2.9653547,0
